lat,lon,anomaly
-58.42931937172774,1.875,2.1043282
-58.42931937172774,6.875,2.2243671
-58.42931937172774,11.875,2.3980503
-58.42931937172774,16.875,2.3822308
-58.42931937172774,21.875,2.134304
-58.42931937172774,26.875,1.8539982
-58.42931937172774,31.875,1.7296677
-58.42931937172774,36.875,1.6482391
-58.42931937172774,41.875,1.5921364
-58.42931937172774,46.875,1.5499878
-58.42931937172774,51.875,1.5197144
-58.42931937172774,56.875,1.5007343
-58.42931937172774,61.875,1.5089321
-58.42931937172774,66.875,1.5719719
-58.42931937172774,71.875,1.6877613
-58.42931937172774,76.875,1.6519527
-58.42931937172774,81.875,1.5285835
-58.42931937172774,86.875,1.4712601
-58.42931937172774,91.875,1.4822483
-58.42931937172774,96.875,1.5131798
-58.42931937172774,101.875,1.4979706
-58.42931937172774,106.875,1.4225845
-58.42931937172774,111.875,1.3518066
-58.42931937172774,116.875,1.2768135
-58.42931937172774,121.875,1.2210026
-58.42931937172774,126.875,1.1713581
-58.42931937172774,131.875,1.1147728
-58.42931937172774,136.875,1.0673199
-58.42931937172774,141.875,1.0514736
-58.42931937172774,146.875,1.0201073
-58.42931937172774,151.875,0.9434395
-58.42931937172774,156.875,0.9298401
-58.42931937172774,161.875,0.9444618
-58.42931937172774,166.875,0.956604
-58.42931937172774,171.875,0.887331
-58.42931937172774,176.875,0.85318947
-58.42931937172774,181.875,0.8414192
-58.42931937172774,186.875,0.8315811
-58.42931937172774,191.875,0.8015003
-58.42931937172774,196.875,0.75447845
-58.42931937172774,201.875,0.7041626
-58.42931937172774,206.875,0.65382004
-58.42931937172774,211.875,0.60645103
-58.42931937172774,216.875,0.6063099
-58.42931937172774,221.875,0.6839428
-58.42931937172774,226.875,0.7924366
-58.42931937172774,231.875,0.8252716
-58.42931937172774,236.875,0.8000698
-58.42931937172774,241.875,0.82108307
-58.42931937172774,246.875,0.8590565
-58.42931937172774,251.875,0.9441261
-58.42931937172774,256.875,1.038969
-58.42931937172774,261.875,1.10816
-58.42931937172774,266.875,1.1518917
-58.42931937172774,271.875,1.1808777
-58.42931937172774,276.875,1.1903667
-58.42931937172774,281.875,1.1980057
-58.42931937172774,286.875,1.2146034
